cc_num,amt,category,gender,lat,long,city_pop,unix_time,merch_lat,merch_long
4613314721966,281.06,grocery_pos,M,35.9946,-81.7266,885,1325466397,36.430124,-81.179483
340187018810220,11.52,gas_transport,F,29.4400,-98.4590,1595797,1325468849,29.819364,-99.142791
340187018810220,276.31,grocery_pos,F,29.4400,-98.4590,1595797,1325473523,29.273085,-98.836360
4613314721966,7.03,gas_transport,M,35.9946,-81.7266,885,1325475483,36.500000,-81.200000
4613314721966,95.40,shopping_net,M,35.9946,-81.7266,885,1325479083,36.010000,-81.730000
340187018810220,62.75,entertainment,F,29.4400,-98.4590,1595797,1325511483,29.455500,-98.469500
6011998877665544,12.33,misc_net,F,42.3601,-71.0589,680000,1325571600,42.361500,-71.059500
6011998877665544,48.15,food_dining,F,42.3601,-71.0589,680000,1325582400,42.358000,-71.061000
5555111122223333,455.90,home,M,34.0522,-118.2437,3971883,1325593200,34.050000,-118.245000
6011998877665544,25.60,personal_care,F,42.3601,-71.0589,680000,1325661600,42.362200,-71.057800
2222444466668888,78.00,kids_pets,M,47.6062,-122.3321,744955,1325676000,34.0522,-118.2437
5555111122223333,33.10,gas_transport,M,34.0522,-118.2437,3971883,1325827200,34.010000,-118.150000
340187018810220,315.00,travel,F,29.4400,-98.4590,1595797,1325838000,33.9425,-118.4081
4613314721966,19.95,health_fitness,M,35.9946,-81.7266,885,1325931600,35.998000,-81.729000
6011998877665544,112.18,grocery_pos,F,42.3601,-71.0589,680000,1325949600,42.361500,-71.059500
